"Comments","Clinical Code",,,,"Sensitivity Code",,,,"Confidentiality Code",,,
,"CodeSystem Code","CodeSystem Name","Concept Code","Concept Name","System Code","System Display","Code","Display","System Code","System Display","Code","Display"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","S9475","Ambulatory setting substance abuse treatment or detoxification services, per diem","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0014","Alcohol and/or drug services; ambulatory detoxification","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0013","Alcohol and/or drug services; acute detoxification (residential addiction program outpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0012","Alcohol and/or drug services; sub-acute detoxification (residential addiction program outpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0011","Alcohol and/or drug services; acute detoxification (residential addiction program inpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0010","Alcohol and/or drug services; sub-acute detoxification (residential addiction program inpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0009","Alcohol and/or drug services; acute detoxification (hospital inpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","H0008","Alcohol and/or drug services; sub-acute detoxification (hospital inpatient)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.12","CPT-4","4306F","Patient counseled regarding psychosocial and pharmacologic treatment options for opioid addiction (SUD)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
